Course,Credit,Lab,Difficulty,Material,Study Time,Weight
ME 233,4.00,1.00,9.00,9.00,9.00,3.645
PHYS 101,4.00,1.00,8.00,9.00,9.00,3.24
PHYS 102,4.00,1.00,9.00,9.00,8.00,3.24
ME 233,4.00,1.00,9.00,8.00,9.00,3.24
ME 343,4.00,1.00,9.00,8.00,9.00,3.24
ME 343,4.00,1.00,8.00,9.00,9.00,3.24
ME 431,4.00,1.00,9.00,9.00,8.00,3.24
ME 431,4.00,1.00,8.00,9.00,9.00,3.24
MATH 102,4.00,0.00,9.00,9.00,9.00,2.916
MATH 102,4.00,0.00,9.00,9.00,9.00,2.916
CHEM 101,4.00,1.00,9.00,8.00,8.00,2.88
CHEM 101,4.00,1.00,8.00,9.00,8.00,2.88
CHEM 101,4.00,1.00,9.00,8.00,8.00,2.88
PHYS 102,4.00,1.00,9.00,8.00,8.00,2.88
PHYS 102,4.00,1.00,8.00,9.00,8.00,2.88
ME 431,4.00,1.00,9.00,8.00,8.00,2.88
ME 431,4.00,1.00,8.00,8.00,9.00,2.88
CHEM 101,4.00,1.00,9.00,7.00,9.00,2.835
PHYS 101,4.00,1.00,7.00,9.00,9.00,2.835
PHYS 101,4.00,1.00,9.00,9.00,7.00,2.835
PHYS 102,4.00,1.00,9.00,7.00,9.00,2.835
ME 233,4.00,1.00,9.00,7.00,9.00,2.835
ME 343,4.00,1.00,9.00,7.00,9.00,2.835
ME 431,4.00,1.00,9.00,7.00,9.00,2.835
MATH 102,4.00,0.00,9.00,9.00,8.00,2.592
MATH 102,4.00,0.00,8.00,9.00,9.00,2.592
PHYS 102,4.00,1.00,8.00,8.00,8.00,2.56
ME 431,4.00,1.00,8.00,8.00,8.00,2.56
ME 431,4.00,1.00,8.00,8.00,8.00,2.56
ME 431,4.00,1.00,8.00,8.00,8.00,2.56
CHEM 101,4.00,1.00,9.00,7.00,8.00,2.52
CHEM 101,4.00,1.00,9.00,8.00,7.00,2.52
